SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
1891648,100373,Consumer loans,10872.99,115695.0,115119.0,11569.5,115695.0,SATURDAY,22,Y,1,0.099458413926499,,,XAP,Approved,-1053,Cash through the bank,XAP,Unaccompanied,New,Medicine,POS,XNA,Stone,25,Industry,12.0,low_normal,POS household with interest,365243.0,-1013.0,-683.0,-713.0,-709.0,0.0
2670402,100077,Cash loans,,0.0,0.0,,,WEDNESDAY,14,Y,1,,,,XNA,Refused,-217,XNA,HC,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1514511,101011,Consumer loans,6856.065,65866.5,66735.0,6588.0,65866.5,FRIDAY,21,Y,1,0.0978537554258678,,,XAP,Approved,-627,Cash through the bank,XAP,Family,Refreshed,Consumer Electronics,POS,XNA,Country-wide,100,Consumer electronics,12.0,middle,POS household with interest,365243.0,-596.0,-266.0,-296.0,-289.0,0.0
1539382,100425,Consumer loans,13410.27,120357.0,133065.0,0.0,120357.0,FRIDAY,15,Y,1,0.0,,,XAP,Approved,-589,Cash through the bank,XAP,,Repeater,Consumer Electronics,POS,XNA,Country-wide,2226,Consumer electronics,12.0,middle,POS household with interest,365243.0,-558.0,-228.0,-378.0,-351.0,0.0
1614986,100151,Cash loans,6535.8,45000.0,55075.5,,45000.0,WEDNESDAY,13,Y,1,,,,XNA,Approved,-1041,Cash through the bank,XAP,Unaccompanied,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high,365243.0,-1011.0,-681.0,-681.0,-672.0,1.0
1111156,100667,Consumer loans,12739.32,68490.0,72108.0,0.0,68490.0,WEDNESDAY,11,Y,1,0.0,,,XAP,Approved,-260,XNA,XAP,,Repeater,Furniture,POS,XNA,Regional / Local,2880,Furniture,6.0,low_normal,POS industry with interest,365243.0,-229.0,-79.0,-79.0,-74.0,0.0
1801757,100916,Consumer loans,11468.7,100323.0,110916.0,0.0,100323.0,MONDAY,16,Y,1,0.0,,,XAP,Approved,-432,XNA,XAP,,New,Computers,POS,XNA,Country-wide,2170,Consumer electronics,12.0,middle,POS household with interest,365243.0,-401.0,-71.0,-131.0,-125.0,0.0
2685304,100307,Cash loans,,0.0,0.0,,,THURSDAY,15,Y,1,,,,XNA,Canceled,-144,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2227969,100201,Consumer loans,3828.555,38610.0,29610.0,9000.0,38610.0,THURSDAY,19,Y,1,0.2538673447764357,,,XAP,Approved,-2424,Cash through the bank,XAP,Family,Repeater,Mobile,POS,XNA,Country-wide,31,Connectivity,10.0,high,POS mobile with interest,365243.0,-2393.0,-2123.0,-2123.0,-2120.0,0.0
2034342,100279,Cash loans,,0.0,0.0,,,THURSDAY,19,Y,1,,,,XNA,Canceled,-382,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1465837,100587,Cash loans,16632.405,135000.0,162315.0,,135000.0,FRIDAY,14,Y,1,,,,XNA,Approved,-433,Cash through the bank,XAP,,Refreshed,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,middle,Cash X-Sell: middle,365243.0,-403.0,-73.0,-73.0,-67.0,1.0
1921372,100527,Consumer loans,5420.115,50890.5,40720.5,10170.0,50890.5,MONDAY,18,Y,1,0.2176448363732827,,,XAP,Approved,-1507,Cash through the bank,XAP,Unaccompanied,New,Computers,POS,XNA,Country-wide,2326,Consumer electronics,10.0,high,POS household with interest,365243.0,-1475.0,-1205.0,-1205.0,-1200.0,0.0
1248695,100980,Consumer loans,9746.865,128340.0,148671.0,0.0,128340.0,SATURDAY,10,Y,1,0.0,,,XAP,Approved,-519,Cash through the bank,XAP,,Repeater,Computers,POS,XNA,Regional / Local,150,Consumer electronics,18.0,low_normal,POS household with interest,365243.0,-488.0,22.0,365243.0,365243.0,0.0
1986247,100124,Consumer loans,7598.34,62491.5,62491.5,0.0,62491.5,SATURDAY,20,Y,1,0.0,,,XAP,Approved,-312,Cash through the bank,XAP,Unaccompanied,Repeater,Mobile,POS,XNA,Country-wide,50,Connectivity,12.0,high,POS mobile with interest,365243.0,-278.0,52.0,-98.0,-94.0,0.0
1356683,101067,Revolving loans,11250.0,0.0,315000.0,,,SATURDAY,9,N,0,,,,XAP,Refused,-773,XNA,SCO,,Repeater,XNA,Cards,x-sell,Contact center,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
1824766,100891,Consumer loans,11236.86,106713.0,106713.0,0.0,106713.0,TUESDAY,14,Y,1,0.0,,,XAP,Approved,-1236,Cash through the bank,XAP,Unaccompanied,New,Furniture,POS,XNA,Stone,300,Furniture,10.0,low_action,POS industry without interest,365243.0,-1191.0,-921.0,-981.0,-972.0,0.0
